group_code,lu_code,lu_desc,lu_color_HEX,Note
-1,-1,Non-Agricultural Land,#e1e1e1,
-1,-2,Non-Agricultural Land,#e1e1e1,
1,0,Crops,#7a8ef5,
1,3,Crops,#7a8ef5,
1,4,Crops,#7a8ef5,
1,7,Crops,#7a8ef5,
1,8,Crops,#7a8ef5,
1,9,Crops,#7a8ef5,
1,10,Crops,#7a8ef5,
1,11,Crops,#7a8ef5,
1,12,Crops,#7a8ef5,
1,13,Crops,#7a8ef5,
1,16,Crops,#7a8ef5,
1,17,Crops,#7a8ef5,
1,18,Crops,#7a8ef5,
1,19,Crops,#7a8ef5,
1,20,Crops,#7a8ef5,
1,21,Crops,#7a8ef5,
1,24,Crops,#7a8ef5,
1,25,Crops,#7a8ef5,
1,26,Crops,#7a8ef5,
1,27,Crops,#7a8ef5,
2,1,Livestock,#ffa77f,
2,2,Livestock,#ffa77f,
2,5,Livestock,#ffa77f,
2,6,Livestock,#ffa77f,
2,14,Livestock,#ffa77f,
2,15,Livestock,#ffa77f,
3,22,Unallocated - modified land,#00e6a9,
4,23,Unallocated - natural land,#ffebbe,
5,100,Environmental plantings,#778f45,
5,101,Riparian Plantings,#005ce6,
5,102,Sheep Agroforestry,#c500ff,
5,103,Beef Agroforestry,#ff0000,
5,104,Carbon Plantings (Block),#267300,
5,105,Carbon Plantings (Block),#267300,"105 is ""Sheep Carbon Plantings (Belt)"", which occupiying 1/3 of the cell and will  be ignored in an intergerized map. So here just make it the same as 104"
5,106,Carbon Plantings (Block),#267300,"106 is ""Beef Carbon Plantings (Belt)"", which occupiying 1/3 of the cell and will  be ignored in an intergerized map. So here just make it the same as 104"
5,107,BECCS,#686868,
